Facility Number,Facility Name,Facility Type,ZIP Code,Latitude,Longitude,Location Type,Notes
380503488,"SMITH, SHIREL",LARGE FAMILY CHILD CARE HOME,94134,37.720686,-122.418856,zip_code_approximate,ZIP-based approximation
380505106,"JACKSON, RUTH",LARGE FAMILY CHILD CARE HOME,94134,37.716674,-122.41713,zip_code_approximate,ZIP-based approximation
380505183,"BYRD, EVA AND BYRD, SHEREE L.",LARGE FAMILY CHILD CARE HOME,94134,37.720381,-122.414965,zip_code_approximate,ZIP-based approximation
380505406,"SIHARATH, ANGELA & SIHARATH, SANDRA",LARGE FAMILY CHILD CARE HOME,94134,37.720503,-122.412922,zip_code_approximate,ZIP-based approximation
380505930.0,SFUSD-E.R. TAYLOR (EES) PRESCHOOL,DAY CARE CENTER,94134,37.722542,-122.418921,zip_code_approximate,ZIP-based approximation
384000113,"HUANG, JAMIE",LARGE FAMILY CHILD CARE HOME,94134,37.719123,-122.417454,zip_code_approximate,ZIP-based approximation
384000561,"LIAO, XIAO LING",LARGE FAMILY CHILD CARE HOME,94134,37.719388,-122.414813,zip_code_approximate,ZIP-based approximation
384001783,"DOMINGO, KARINA EME",LARGE FAMILY CHILD CARE HOME,94112,37.725612,-122.445813,zip_code_approximate,ZIP-based approximation
384001921,"FANG, HELEN QI WEN",LARGE FAMILY CHILD CARE HOME,94112,37.725879,-122.447113,zip_code_approximate,ZIP-based approximation
384002011.0,TREASURE ISLAND CHILD DEVELOPMENT CENTER (PS),DAY CARE CENTER,94130,37.717617,-122.379202,zip_code_approximate,ZIP-based approximation
384002012.0,TREASURE ISLAND CHILD DEVELOPMENT CENTER - INFANT,INFANT CENTER,94130,37.720383,-122.376127,zip_code_approximate,ZIP-based approximation
384002091,"Gomez, Ana",SMALL FAMILY CHILD CARE HOME,94134,37.719914,-122.412801,zip_code_approximate,ZIP-based approximation
384002138,Billy Goats Preschool,SMALL FAMILY CHILD CARE HOME,94112,37.722808,-122.447677,zip_code_approximate,ZIP-based approximation
384002157,"Zhao, Rui-Xin",SMALL FAMILY CHILD CARE HOME,94134,37.719468,-122.416414,zip_code_approximate,ZIP-based approximation
384002327,"Mejia, Eloida",SMALL FAMILY CHILD CARE HOME,94134,37.721535,-122.41426,zip_code_approximate,ZIP-based approximation
384002481,"Fan, Qunjie",SMALL FAMILY CHILD CARE HOME,94134,37.720922,-122.415528,zip_code_approximate,ZIP-based approximation
384002489,Smart and Fun Preschool,SMALL FAMILY CHILD CARE HOME,94112,37.722955,-122.446886,zip_code_approximate,ZIP-based approximation
384002533,"ZHOU, YAN HONG",LARGE FAMILY CHILD CARE HOME,94134,37.716263,-122.411601,zip_code_approximate,ZIP-based approximation
384002608,"CARINO, ELLEN-GRACE & CEPHAS",LARGE FAMILY CHILD CARE HOME,94112,37.722985,-122.446575,zip_code_approximate,ZIP-based approximation
384002628,"Liao, Xiao Deng & Zhang, Biyu",SMALL FAMILY CHILD CARE HOME,94134,37.717433,-122.416016,zip_code_approximate,ZIP-based approximation
384002721,"KWAN AU, LAI YEE",LARGE FAMILY CHILD CARE HOME,94134,37.717384,-122.414654,zip_code_approximate,ZIP-based approximation
384002759,"CHOW, SANDY H.",LARGE FAMILY CHILD CARE HOME,94134,37.717846,-122.415899,zip_code_approximate,ZIP-based approximation
384002800,"Yu, Hua Jin",SMALL FAMILY CHILD CARE HOME,94134,37.718078,-122.417632,zip_code_approximate,ZIP-based approximation
384002981,"Liu, Li Chang",SMALL FAMILY CHILD CARE HOME,94134,37.71636,-122.415789,zip_code_approximate,ZIP-based approximation
384002995,"LIANG, WEI YING",LARGE FAMILY CHILD CARE HOME,94134,37.716301,-122.414204,zip_code_approximate,ZIP-based approximation
384003092,"CHAPMAN, NICOLE",LARGE FAMILY CHILD CARE HOME,94134,37.713884,-122.41965,zip_code_approximate,ZIP-based approximation
384004036,"HUI, YIN YU & TANG, WAIHUNG",LARGE FAMILY CHILD CARE HOME,94134,37.719099,-122.414328,zip_code_approximate,ZIP-based approximation
384004231.0,LITTLE BEE PRESCHOOL,DAY CARE CENTER,94129,37.801315,-122.464282,zip_code_approximate,ZIP-based approximation
384004307,"HERNANDEZ, RUTH",LARGE FAMILY CHILD CARE HOME,94134,37.719003,-122.413344,zip_code_approximate,ZIP-based approximation
384004316,"BAQUERO, ANGELA V.",LARGE FAMILY CHILD CARE HOME,94112,37.72474,-122.444806,zip_code_approximate,ZIP-based approximation
384004344,Manitas Exploradoras Daycare,SMALL FAMILY CHILD CARE HOME,94112,37.725879,-122.445616,zip_code_approximate,ZIP-based approximation
384004347,"ZHANG, JIALING",LARGE FAMILY CHILD CARE HOME,94158,37.768455,-122.384571,zip_code_approximate,ZIP-based approximation
384004378,"LU, BAOWEN",LARGE FAMILY CHILD CARE HOME,94134,37.717696,-122.415507,zip_code_approximate,ZIP-based approximation
384004555,"CHEN, XIAOLI",LARGE FAMILY CHILD CARE HOME,94134,37.716339,-122.416702,zip_code_approximate,ZIP-based approximation
384004650,"OLIVEIRA, CAROLINA",LARGE FAMILY CHILD CARE HOME,94134,37.721759,-122.414071,zip_code_approximate,ZIP-based approximation
384004679,Corazones Home Day Care,SMALL FAMILY CHILD CARE HOME,94134,37.717503,-122.41602,zip_code_approximate,ZIP-based approximation
384004696,"LEVINA, VIOLETTA & NIKOLSKAIA, IANA",LARGE FAMILY CHILD CARE HOME,94132,37.722334,-122.477478,zip_code_approximate,ZIP-based approximation
384004713,"BANOS, KAREN Y.",LARGE FAMILY CHILD CARE HOME,94112,37.725488,-122.445007,zip_code_approximate,ZIP-based approximation
384004784,"LIANG, LIYI",LARGE FAMILY CHILD CARE HOME,94158,37.774249,-122.385573,zip_code_approximate,ZIP-based approximation
384004812,Kidz Sweet Home,SMALL FAMILY CHILD CARE HOME,94134,37.716829,-122.416224,zip_code_approximate,ZIP-based approximation
384004874,"Joya, Petrona F.",SMALL FAMILY CHILD CARE HOME,94112,37.725149,-122.444288,zip_code_approximate,ZIP-based approximation
384004905,"Wang, Yan",SMALL FAMILY CHILD CARE HOME,94112,37.725481,-122.443694,zip_code_approximate,ZIP-based approximation
384004960,"Lin, Wanyi",SMALL FAMILY CHILD CARE HOME,94134,37.713654,-122.417956,zip_code_approximate,ZIP-based approximation
384005066,Jojo's Play House,SMALL FAMILY CHILD CARE HOME,94134,37.717202,-122.41336,zip_code_approximate,ZIP-based approximation
